2026-01-23 23:42:22,472 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=4
2026-01-23 23:43:22,647 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=4
2026-01-23 23:44:22,806 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=4
2026-01-23 23:45:22,935 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=5
2026-01-23 23:46:23,029 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=5
2026-01-23 23:47:23,176 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=5
2026-01-23 23:48:23,304 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=5
2026-01-23 23:49:23,435 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=5
2026-01-23 23:50:23,499 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.01% | held_candles=6
2026-01-23 23:51:23,661 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.01% | held_candles=6
2026-01-23 23:52:23,790 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.01% | held_candles=6
2026-01-23 23:53:23,941 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.01% | held_candles=6
2026-01-23 23:54:24,024 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.01% | held_candles=6
2026-01-23 23:55:24,188 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=7
2026-01-23 23:56:24,341 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=7
2026-01-23 23:57:24,485 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=7
2026-01-23 23:58:24,650 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=7
2026-01-23 23:59:24,788 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=7
2026-01-24 00:00:24,905 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=8
2026-01-24 00:01:25,043 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=8
2026-01-24 00:02:25,165 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=8
2026-01-24 00:03:25,275 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=8
2026-01-24 00:04:25,441 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=8
2026-01-24 00:05:25,599 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.23% | held_candles=9
2026-01-24 00:06:25,745 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.23% | held_candles=9
2026-01-24 00:07:25,868 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.23% | held_candles=9
2026-01-24 00:08:26,011 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.23% | held_candles=9
2026-01-24 00:09:26,145 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.23% | held_candles=9
2026-01-24 00:10:26,228 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=10
2026-01-24 00:11:26,411 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=10
2026-01-24 00:12:26,545 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=10
2026-01-24 00:13:26,656 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=10
2026-01-24 00:14:26,805 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.08% | held_candles=10
2026-01-24 00:15:26,897 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=11
2026-01-24 00:16:27,026 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=11
2026-01-24 00:17:27,177 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=11
2026-01-24 00:18:27,306 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=11
2026-01-24 00:19:27,447 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=11
2026-01-24 00:20:27,598 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=12
2026-01-24 00:21:27,742 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=12
2026-01-24 00:22:27,900 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=12
2026-01-24 00:23:28,034 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=12
2026-01-24 00:24:28,209 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=12
2026-01-24 00:25:28,390 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=13
