2026-01-25 21:00:08,936 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769374808344', 'order_id': '710409438262985244'}
2026-01-25 21:00:09,495 | INFO | OPEN cmt_solusdt TF=5m size=7.9 order_id=710409438262985244 candle_idx=61
2026-01-25 21:00:54,415 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-25 21:01:54,537 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-25 21:02:54,689 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-25 21:03:54,827 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-25 21:04:54,959 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-25 21:05:55,103 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=2
2026-01-25 21:06:55,212 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=2
2026-01-25 21:07:55,379 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=2
2026-01-25 21:08:55,515 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=2
2026-01-25 21:09:55,652 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=2
2026-01-25 21:10:55,766 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.12% | held_candles=3
2026-01-25 21:11:55,919 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.12% | held_candles=3
2026-01-25 21:12:56,011 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.12% | held_candles=3
2026-01-25 21:13:56,204 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.12% | held_candles=3
2026-01-25 21:14:56,296 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.12% | held_candles=3
2026-01-25 21:15:56,403 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.1% | held_candles=4
2026-01-25 21:16:56,576 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.1% | held_candles=4
2026-01-25 21:17:56,721 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.1% | held_candles=4
2026-01-25 21:18:56,836 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.1% | held_candles=4
2026-01-25 21:19:56,977 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.1% | held_candles=4
2026-01-25 21:20:57,101 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=5
2026-01-25 21:21:57,243 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=5
2026-01-25 21:22:57,420 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=5
2026-01-25 21:23:57,559 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=5
2026-01-25 21:24:57,708 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=5
2026-01-25 21:25:57,874 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.2% | held_candles=6
2026-01-25 21:26:58,050 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.2% | held_candles=6
2026-01-25 21:27:58,172 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.2% | held_candles=6
2026-01-25 21:28:58,299 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.2% | held_candles=6
2026-01-25 21:29:58,449 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.2% | held_candles=6
2026-01-25 21:30:58,565 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=9
2026-01-25 21:31:58,718 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=9
2026-01-25 21:32:58,895 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=9
2026-01-25 21:33:59,029 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=9
2026-01-25 21:34:59,164 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=9
2026-01-25 21:35:59,317 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.25% | held_candles=10
2026-01-25 21:36:59,480 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.25% | held_candles=10
2026-01-25 21:37:59,633 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.25% | held_candles=10
2026-01-25 21:38:59,744 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.25% | held_candles=10
2026-01-25 21:39:59,872 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.25% | held_candles=10
2026-01-25 21:40:02,495 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769377201910', 'order_id': '710419477593850396'}
