2026-01-31 05:10:03,103 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769836202570', 'order_id': '712344665797427740'}
2026-01-31 05:10:38,210 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-31 05:11:38,373 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=1
2026-01-31 05:12:38,495 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.08% | held_candles=1
2026-01-31 05:13:38,673 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.1% | held_candles=1
2026-01-31 05:14:38,834 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.14% | held_candles=1
2026-01-31 05:15:38,954 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=2
2026-01-31 05:16:39,175 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=2
2026-01-31 05:17:39,310 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=2
2026-01-31 05:18:39,502 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.15% | held_candles=2
2026-01-31 05:19:39,677 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.23% | held_candles=2
2026-01-31 05:20:39,839 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.21% | held_candles=3
2026-01-31 05:21:40,023 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=3
2026-01-31 05:22:40,188 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.15% | held_candles=3
2026-01-31 05:23:40,314 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=3
2026-01-31 05:24:40,504 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=3
2026-01-31 05:25:40,621 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.2% | held_candles=4
2026-01-31 05:26:40,827 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.22% | held_candles=4
2026-01-31 05:27:40,994 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.2% | held_candles=4
2026-01-31 05:28:41,119 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.25% | held_candles=4
2026-01-31 05:29:41,221 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.2% | held_candles=4
2026-01-31 05:30:41,372 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.2% | held_candles=5
2026-01-31 05:31:41,514 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.2% | held_candles=5
2026-01-31 05:32:41,688 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.21% | held_candles=5
2026-01-31 05:33:41,848 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.14% | held_candles=5
