2026-01-23 00:05:20,467 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769126720079', 'order_id': '709368880023208476'}
2026-01-23 00:05:21,033 | INFO | OPEN cmt_dogeusdt TF=5m size=7700.0 order_id=709368880023208476
2026-01-23 00:05:21,706 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:22,724 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:23,744 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:24,764 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:25,784 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:26,802 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:27,821 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:28,839 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:29,858 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:30,876 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:31,894 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:32,912 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:33,929 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:34,946 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:35,965 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:36,983 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:38,003 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:39,021 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:40,039 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:41,057 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:42,076 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:43,095 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:44,113 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:45,132 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:46,153 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:47,171 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:48,188 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:49,207 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:50,225 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:51,244 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:52,262 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:53,281 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:54,300 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:55,322 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:56,341 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:57,350 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:58,367 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:05:59,384 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:00,403 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:01,420 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:02,439 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:03,457 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:04,475 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:05,479 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0%
2026-01-23 00:06:05,494 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:06,512 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:07,529 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:08,548 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:09,566 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:10,583 | INFO | [HOLD LOCK] 0/1 candle
2026-01-23 00:06:11,602 | INFO | [HOLD LOCK] 0/1 candle
