2026-02-01 15:31:01,432 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769959860866', 'order_id': '712863326366859804'}
2026-02-01 15:31:41,420 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-02-01 15:32:41,556 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.57% | held_candles=0
2026-02-01 15:33:41,730 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.24% | held_candles=0
2026-02-01 15:34:41,841 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=0
2026-02-01 15:35:41,975 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.34% | held_candles=1
2026-02-01 15:36:42,096 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.09% | held_candles=1
2026-02-01 15:37:42,193 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.24% | held_candles=1
2026-02-01 15:38:42,341 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.23% | held_candles=1
2026-02-01 15:39:42,474 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=1
2026-02-01 15:40:42,575 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.66% | held_candles=2
2026-02-01 15:41:42,679 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.45% | held_candles=2
2026-02-01 15:42:42,816 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.44% | held_candles=2
2026-02-01 15:43:42,990 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.44% | held_candles=2
2026-02-01 15:44:43,152 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.52% | held_candles=2
2026-02-01 15:45:43,327 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.3% | held_candles=3
2026-02-01 15:46:43,452 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.31% | held_candles=3
2026-02-01 15:47:43,648 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.59% | held_candles=3
2026-02-01 15:48:43,785 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.57% | held_candles=3
2026-02-01 15:49:43,905 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.87% | held_candles=3
2026-02-01 15:50:44,024 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.81% | held_candles=4
2026-02-01 15:51:44,088 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.84% | held_candles=4
2026-02-01 15:52:44,247 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.93% | held_candles=4
2026-02-01 15:53:44,369 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.94% | held_candles=4
2026-02-01 15:54:44,493 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.69% | held_candles=4
2026-02-01 15:55:44,624 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.7% | held_candles=5
2026-02-01 15:56:44,719 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.72% | held_candles=5
2026-02-01 15:57:44,882 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.91% | held_candles=5
2026-02-01 15:58:45,003 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.36% | held_candles=5
2026-02-01 15:59:45,153 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.11% | held_candles=5
2026-02-01 16:00:45,277 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.01% | held_candles=6
2026-02-01 16:01:45,420 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.86% | held_candles=6
2026-02-01 16:02:45,487 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.89% | held_candles=6
2026-02-01 16:03:45,630 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.64% | held_candles=6
2026-02-01 16:04:45,782 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.73% | held_candles=6
2026-02-01 16:05:45,923 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.9% | held_candles=7
2026-02-01 16:06:46,059 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.14% | held_candles=7
2026-02-01 16:07:46,192 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.51% | held_candles=7
2026-02-01 16:08:46,354 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.45% | held_candles=7
2026-02-01 16:09:46,499 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.29% | held_candles=7
2026-02-01 16:10:46,667 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.16% | held_candles=8
2026-02-01 16:11:46,725 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.08% | held_candles=8
2026-02-01 16:12:46,839 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.05% | held_candles=8
2026-02-01 16:13:46,915 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.27% | held_candles=8
2026-02-01 16:14:47,059 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.36% | held_candles=8
2026-02-01 16:15:47,217 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.43% | held_candles=9
2026-02-01 16:16:47,368 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.37% | held_candles=9
2026-02-01 16:17:47,426 | INFO | [FLOAT-5m] cmt_solusdt | pnl=1.28% | held_candles=9
2026-02-01 16:18:02,256 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769962681699', 'order_id': '712875157605057052'}
