2026-01-24 03:35:11,004 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769225702313', 'order_id': '709784076411732508'}
2026-01-24 03:35:11,407 | INFO | OPEN cmt_dogeusdt TF=5m size=7700.0 order_id=709784076411732508 candle_idx=92
2026-01-24 03:35:58,516 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 03:36:58,683 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 03:37:58,799 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 03:38:58,993 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 03:39:59,147 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 03:40:59,269 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=2
2026-01-24 03:41:59,333 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=2
2026-01-24 03:42:59,489 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=2
2026-01-24 03:43:59,696 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=2
2026-01-24 03:44:59,798 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=2
2026-01-24 03:45:59,956 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=3
2026-01-24 03:47:00,130 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=3
2026-01-24 03:48:00,275 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=3
2026-01-24 03:49:00,457 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=3
2026-01-24 03:50:00,605 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=4
2026-01-24 03:51:00,725 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.23% | held_candles=4
2026-01-24 03:52:00,863 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.23% | held_candles=4
2026-01-24 03:53:01,032 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.23% | held_candles=4
2026-01-24 03:54:01,212 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.23% | held_candles=4
2026-01-24 03:55:01,408 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.22% | held_candles=5
2026-01-24 03:56:01,579 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.22% | held_candles=5
2026-01-24 03:57:01,762 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.22% | held_candles=5
2026-01-24 03:58:01,899 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.22% | held_candles=5
2026-01-24 03:59:02,056 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.22% | held_candles=5
