2026-01-29 08:01:07,813 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769673667250', 'order_id': '711662943082643996'}
2026-01-29 08:01:50,553 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-29 08:02:50,629 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-29 08:03:50,657 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.06% | held_candles=0
2026-01-29 08:04:50,771 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=0
2026-01-29 08:05:50,936 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-29 08:06:51,074 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=1
2026-01-29 08:07:51,176 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=1
2026-01-29 08:08:51,354 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=1
2026-01-29 08:09:51,436 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=1
2026-01-29 08:10:51,548 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=2
2026-01-29 08:11:51,634 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=2
2026-01-29 08:12:51,695 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=2
2026-01-29 08:13:51,850 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=2
2026-01-29 08:14:51,940 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=2
2026-01-29 08:15:52,079 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.18% | held_candles=3
2026-01-29 08:16:52,224 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=3
2026-01-29 08:17:52,280 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=3
2026-01-29 08:18:52,464 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=3
2026-01-29 08:19:52,583 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=3
2026-01-29 08:20:52,749 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=4
2026-01-29 08:21:52,890 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=4
2026-01-29 08:22:53,036 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=4
2026-01-29 08:23:53,165 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.12% | held_candles=4
2026-01-29 08:24:53,316 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=4
2026-01-29 08:25:53,432 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=5
2026-01-29 08:26:53,475 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=5
2026-01-29 08:27:53,548 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=5
2026-01-29 08:28:53,663 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.12% | held_candles=5
2026-01-29 08:29:53,774 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.24% | held_candles=5
2026-01-29 08:30:53,909 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.39% | held_candles=6
2026-01-29 08:31:53,996 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.31% | held_candles=6
2026-01-29 08:32:54,031 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.23% | held_candles=6
2026-01-29 08:33:54,121 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.15% | held_candles=6
2026-01-29 08:34:54,248 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=6
2026-01-29 08:35:54,393 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=7
2026-01-29 08:36:54,395 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=7
2026-01-29 08:37:54,458 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=7
2026-01-29 08:38:54,527 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=7
2026-01-29 08:39:54,621 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=7
2026-01-29 08:40:54,655 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=8
2026-01-29 08:41:54,727 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=8
2026-01-29 08:42:54,774 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=8
2026-01-29 08:43:54,906 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=8
2026-01-29 08:44:55,016 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=8
2026-01-29 08:45:55,199 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=9
2026-01-29 08:46:55,295 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=9
2026-01-29 08:47:55,460 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=9
2026-01-29 08:48:55,593 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=9
2026-01-29 08:49:55,746 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=9
2026-01-29 08:50:55,887 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=10
2026-01-29 08:51:56,010 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=10
2026-01-29 08:52:56,122 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.17% | held_candles=10
2026-01-29 08:53:56,308 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=10
2026-01-29 08:54:56,466 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.12% | held_candles=10
2026-01-29 08:55:56,656 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=11
2026-01-29 08:56:56,812 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=11
2026-01-29 08:57:56,914 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=11
2026-01-29 08:58:57,027 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=11
2026-01-29 08:59:57,202 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=11
2026-01-29 09:00:57,280 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=12
2026-01-29 09:01:57,345 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=12
2026-01-29 09:02:57,488 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=12
2026-01-29 09:03:57,538 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=12
2026-01-29 09:04:57,654 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=12
2026-01-29 09:05:57,722 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=13
2026-01-29 09:06:57,819 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=13
2026-01-29 09:07:57,935 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=13
2026-01-29 09:08:58,084 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=13
2026-01-29 09:09:58,209 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=13
2026-01-29 09:10:58,250 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=14
2026-01-29 09:11:58,437 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.12% | held_candles=14
2026-01-29 09:12:58,611 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=14
2026-01-29 09:13:58,642 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=14
2026-01-29 09:14:58,685 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=14
2026-01-29 09:15:58,764 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=15
2026-01-29 09:16:58,934 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=15
2026-01-29 09:17:59,053 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=15
2026-01-29 09:18:59,126 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.12% | held_candles=15
2026-01-29 09:19:59,220 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.12% | held_candles=15
2026-01-29 09:20:59,357 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=16
2026-01-29 09:21:59,461 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.17% | held_candles=16
2026-01-29 09:22:59,511 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=16
2026-01-29 09:23:59,645 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=16
2026-01-29 09:24:59,763 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=16
2026-01-29 09:25:59,925 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=17
2026-01-29 09:27:00,020 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=17
2026-01-29 09:28:00,154 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=17
2026-01-29 09:29:00,232 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=17
2026-01-29 09:30:00,429 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=17
