2026-01-27 01:05:14,854 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769475909138', 'order_id': '710833507194110492'}
2026-01-27 01:05:15,389 | INFO | OPEN cmt_solusdt TF=5m size=7.7 order_id=710833507194110492 candle_idx=89
2026-01-27 01:05:37,639 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 01:06:37,783 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 01:07:37,913 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 01:08:38,068 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 01:09:38,217 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 01:10:38,289 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=1
2026-01-27 01:11:38,440 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=1
2026-01-27 01:12:38,554 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=1
2026-01-27 01:13:38,706 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=1
2026-01-27 01:14:38,847 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.01% | held_candles=1
2026-01-27 01:15:38,966 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 01:16:39,130 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 01:17:39,251 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 01:18:39,381 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 01:19:39,480 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 01:20:39,522 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=3
2026-01-27 01:21:39,643 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=3
2026-01-27 01:22:39,787 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=3
2026-01-27 01:23:39,867 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=3
2026-01-27 01:24:39,969 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=3
2026-01-27 01:25:40,129 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=4
2026-01-27 01:26:40,247 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=4
2026-01-27 01:27:40,350 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=4
2026-01-27 01:28:40,467 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=4
2026-01-27 01:29:40,575 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=4
2026-01-27 01:30:40,665 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.3% | held_candles=5
2026-01-27 01:31:40,789 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.3% | held_candles=5
2026-01-27 01:32:40,869 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.3% | held_candles=5
2026-01-27 01:33:40,976 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.3% | held_candles=5
2026-01-27 01:34:41,123 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.3% | held_candles=5
2026-01-27 01:35:41,274 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.51% | held_candles=6
2026-01-27 01:36:41,408 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.51% | held_candles=6
2026-01-27 01:37:41,562 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.51% | held_candles=6
2026-01-27 01:38:41,729 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.51% | held_candles=6
2026-01-27 01:39:41,873 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.51% | held_candles=6
2026-01-27 01:40:41,932 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.5% | held_candles=7
2026-01-27 01:41:01,862 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769478061280', 'order_id': '710842512427713052'}
