2026-01-26 23:10:09,878 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769469009332', 'order_id': '710804545692762652'}
2026-01-26 23:10:10,431 | INFO | OPEN cmt_dogeusdt TF=5m size=7800.0 order_id=710804545692762652 candle_idx=66
2026-01-26 23:10:28,480 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 23:11:28,629 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 23:12:28,814 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 23:13:28,934 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 23:14:29,102 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 23:15:29,201 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=1
2026-01-26 23:16:29,370 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=1
2026-01-26 23:17:29,516 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=1
2026-01-26 23:18:29,692 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=1
2026-01-26 23:19:29,853 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=1
2026-01-26 23:20:29,955 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.09% | held_candles=2
2026-01-26 23:21:30,092 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.09% | held_candles=2
2026-01-26 23:22:30,223 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.09% | held_candles=2
2026-01-26 23:23:30,394 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.09% | held_candles=2
2026-01-26 23:24:30,558 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.09% | held_candles=2
2026-01-26 23:25:30,687 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=3
2026-01-26 23:26:30,802 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=3
2026-01-26 23:27:30,974 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=3
2026-01-26 23:28:31,144 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=3
2026-01-26 23:29:31,237 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=3
2026-01-26 23:30:31,359 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.19% | held_candles=4
2026-01-26 23:31:31,480 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.19% | held_candles=4
2026-01-26 23:32:31,565 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.19% | held_candles=4
2026-01-26 23:33:31,718 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.19% | held_candles=4
2026-01-26 23:34:31,865 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.19% | held_candles=4
2026-01-26 23:35:31,983 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.34% | held_candles=5
2026-01-26 23:36:32,093 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.34% | held_candles=5
2026-01-26 23:37:32,253 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.34% | held_candles=5
2026-01-26 23:38:32,392 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.34% | held_candles=5
2026-01-26 23:39:01,500 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769470740929', 'order_id': '710811808692175388'}
