2026-02-02 04:09:46,841 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.29% | held_candles=7
2026-02-02 04:10:47,018 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.56% | held_candles=8
2026-02-02 04:11:47,199 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.36% | held_candles=8
2026-02-02 04:12:47,396 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.79% | held_candles=8
2026-02-02 04:13:47,567 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.81% | held_candles=8
2026-02-02 04:14:47,777 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.83% | held_candles=8
2026-02-02 04:15:47,926 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.89% | held_candles=9
2026-02-02 04:16:48,147 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.94% | held_candles=9
2026-02-02 04:17:48,323 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.63% | held_candles=9
2026-02-02 04:18:48,511 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.45% | held_candles=9
2026-02-02 04:19:48,717 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.28% | held_candles=9
2026-02-02 04:20:48,874 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.89% | held_candles=10
2026-02-02 04:21:49,045 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.45% | held_candles=10
2026-02-02 04:22:49,228 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.55% | held_candles=10
2026-02-02 04:23:49,452 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.07% | held_candles=10
2026-02-02 04:24:49,637 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.98% | held_candles=10
2026-02-02 04:25:49,837 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.59% | held_candles=11
2026-02-02 04:26:50,006 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.22% | held_candles=11
2026-02-02 04:27:50,140 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.18% | held_candles=11
2026-02-02 04:28:50,304 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.39% | held_candles=11
2026-02-02 04:29:50,513 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.08% | held_candles=11
2026-02-02 04:30:50,670 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.43% | held_candles=12
2026-02-02 04:31:50,772 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.73% | held_candles=12
2026-02-02 04:32:50,967 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.34% | held_candles=12
2026-02-02 04:33:51,112 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.09% | held_candles=12
2026-02-02 04:34:51,265 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.72% | held_candles=12
2026-02-02 04:35:51,460 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.44% | held_candles=13
2026-02-02 04:36:51,634 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.46% | held_candles=13
2026-02-02 04:37:51,766 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.5% | held_candles=13
2026-02-02 04:38:51,944 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.27% | held_candles=13
2026-02-02 04:39:52,154 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.32% | held_candles=13
2026-02-02 04:40:52,298 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.28% | held_candles=14
2026-02-02 04:41:52,488 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.15% | held_candles=14
2026-02-02 04:42:52,643 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.1% | held_candles=14
2026-02-02 04:43:52,806 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.2% | held_candles=14
2026-02-02 04:44:53,004 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.22% | held_candles=14
2026-02-02 04:45:53,143 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=4.17% | held_candles=15
2026-02-02 04:46:53,315 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.92% | held_candles=15
2026-02-02 04:47:53,505 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.87% | held_candles=15
2026-02-02 04:48:53,698 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.82% | held_candles=15
2026-02-02 04:49:53,830 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.65% | held_candles=15
2026-02-02 04:50:53,992 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.64% | held_candles=16
