2026-02-01 01:17:12,301 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769908626591', 'order_id': '712648455545160220'}
2026-02-01 01:18:11,790 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=0
2026-02-01 01:19:11,939 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=0
2026-02-01 01:20:12,079 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=1
2026-02-01 01:21:12,165 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.14% | held_candles=1
2026-02-01 01:22:12,301 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.14% | held_candles=1
2026-02-01 01:23:12,429 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.2% | held_candles=1
2026-02-01 01:24:12,568 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.34% | held_candles=1
2026-02-01 01:25:12,723 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.32% | held_candles=2
2026-02-01 01:26:12,889 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.36% | held_candles=2
2026-02-01 01:27:13,021 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.42% | held_candles=2
2026-02-01 01:28:13,150 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.72% | held_candles=2
2026-02-01 01:29:13,303 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.84% | held_candles=2
2026-02-01 01:30:13,449 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.01% | held_candles=3
2026-02-01 01:31:13,641 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.97% | held_candles=3
2026-02-01 01:32:13,738 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.93% | held_candles=3
2026-02-01 01:33:13,881 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.89% | held_candles=3
2026-02-01 01:34:13,999 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.9% | held_candles=3
2026-02-01 01:35:14,093 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.06% | held_candles=4
2026-02-01 01:36:14,236 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.99% | held_candles=4
2026-02-01 01:37:14,340 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.97% | held_candles=4
2026-02-01 01:38:14,478 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.83% | held_candles=4
2026-02-01 01:39:14,619 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.82% | held_candles=4
2026-02-01 01:40:01,034 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769910000452', 'order_id': '712654196662338076'}
