2026-01-31 14:09:01,667 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769868541122', 'order_id': '712480303536407068'}
2026-01-31 14:09:43,060 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-31 14:10:43,166 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=1
2026-01-31 14:11:43,310 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.3% | held_candles=1
2026-01-31 14:12:43,405 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.11% | held_candles=1
2026-01-31 14:13:43,533 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.16% | held_candles=1
2026-01-31 14:14:43,690 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.08% | held_candles=1
2026-01-31 14:15:43,840 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.13% | held_candles=2
2026-01-31 14:16:43,998 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.23% | held_candles=2
2026-01-31 14:17:44,178 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.18% | held_candles=2
2026-01-31 14:18:07,498 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769869081531', 'order_id': '712482592871416348'}
