2026-01-25 07:45:08,923 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769327108320', 'order_id': '710209369878299164'}
2026-01-25 07:45:09,482 | INFO | OPEN cmt_dogeusdt TF=5m size=7700.0 order_id=710209369878299164 candle_idx=24
2026-01-25 07:45:40,701 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-25 07:46:40,850 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-25 07:47:40,993 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-25 07:48:41,158 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-25 07:49:41,317 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-25 07:50:41,410 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=2
2026-01-25 07:51:41,526 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=2
2026-01-25 07:52:41,647 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=2
2026-01-25 07:53:41,835 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=2
2026-01-25 07:54:41,985 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=2
2026-01-25 07:55:42,144 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-25 07:56:42,298 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-25 07:57:42,466 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-25 07:58:42,629 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-25 07:59:42,787 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-25 08:00:42,939 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
2026-01-25 08:01:43,107 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
2026-01-25 08:02:43,304 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
2026-01-25 08:03:43,435 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
