2026-01-30 05:25:04,310 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769750703715', 'order_id': '711986057792455196'}
2026-01-30 05:25:25,170 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-30 05:26:25,336 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=0
2026-01-30 05:27:25,501 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=0
2026-01-30 05:28:25,722 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.31% | held_candles=0
2026-01-30 05:29:25,896 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.47% | held_candles=0
2026-01-30 05:30:25,941 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.42% | held_candles=1
2026-01-30 05:31:26,093 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.47% | held_candles=1
2026-01-30 05:32:26,247 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.38% | held_candles=1
2026-01-30 05:33:26,361 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.38% | held_candles=1
2026-01-30 05:34:26,508 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.4% | held_candles=1
2026-01-30 05:35:26,728 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.42% | held_candles=2
2026-01-30 05:36:26,831 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.36% | held_candles=2
2026-01-30 05:37:26,968 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.41% | held_candles=2
2026-01-30 05:38:27,085 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.36% | held_candles=2
2026-01-30 05:39:27,302 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.32% | held_candles=2
2026-01-30 05:40:27,388 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.3% | held_candles=3
2026-01-30 05:41:27,544 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.23% | held_candles=3
2026-01-30 05:42:27,652 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.2% | held_candles=3
2026-01-30 05:43:28,637 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.23% | held_candles=3
2026-01-30 05:44:28,665 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.26% | held_candles=3
2026-01-30 05:45:28,689 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.22% | held_candles=4
2026-01-30 05:46:29,673 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=4
2026-01-30 05:47:29,703 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=4
2026-01-30 05:48:30,600 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.22% | held_candles=4
2026-01-30 05:49:31,548 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.19% | held_candles=4
2026-01-30 05:50:32,539 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=5
2026-01-30 05:51:32,629 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=5
2026-01-30 05:52:33,664 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=5
2026-01-30 05:53:34,679 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.34% | held_candles=5
2026-01-30 05:54:34,701 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.25% | held_candles=5
2026-01-30 05:55:35,663 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.24% | held_candles=6
2026-01-30 05:56:35,741 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.24% | held_candles=6
2026-01-30 05:57:36,768 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.24% | held_candles=6
2026-01-30 05:58:36,801 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.26% | held_candles=6
2026-01-30 05:59:36,868 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=6
2026-01-30 06:00:37,862 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.12% | held_candles=7
2026-01-30 06:01:38,856 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.04% | held_candles=7
2026-01-30 06:02:39,837 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=7
2026-01-30 06:03:40,821 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=7
2026-01-30 06:04:40,983 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=7
2026-01-30 06:05:41,130 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=8
2026-01-30 06:06:41,231 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.12% | held_candles=8
2026-01-30 06:07:41,360 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.29% | held_candles=8
2026-01-30 06:08:41,518 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.29% | held_candles=8
2026-01-30 06:09:01,401 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769753340834', 'order_id': '711997118318903836'}
