2026-01-26 16:30:04,900 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769445004294', 'order_id': '710703861450408476'}
2026-01-26 16:30:05,434 | INFO | OPEN cmt_dogeusdt TF=5m size=7900.0 order_id=710703861450408476 candle_idx=92
2026-01-26 16:30:28,620 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 16:31:28,713 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 16:32:28,829 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 16:33:28,962 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 16:34:29,083 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-26 16:35:29,183 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=1
2026-01-26 16:36:29,323 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=1
2026-01-26 16:37:29,436 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=1
2026-01-26 16:38:29,554 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=1
2026-01-26 16:39:29,717 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=1
2026-01-26 16:40:01,927 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769445601326', 'order_id': '710706365596697116'}
