2026-01-23 12:15:09,295 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769170508668', 'order_id': '709552543465734684'}
2026-01-23 12:15:09,936 | INFO | OPEN cmt_dogeusdt TF=5m size=7600.0 order_id=709552543465734684 candle_idx=13
2026-01-23 12:15:49,405 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-23 12:16:49,514 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-23 12:17:49,647 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-23 12:18:49,748 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-23 12:19:49,853 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-23 12:20:49,933 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=2
2026-01-23 12:21:49,998 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=2
2026-01-23 12:22:50,074 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=2
2026-01-23 12:23:50,163 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=2
2026-01-23 12:24:50,268 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=2
2026-01-23 12:25:50,349 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=3
2026-01-23 12:26:50,456 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=3
2026-01-23 12:27:50,503 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=3
2026-01-23 12:28:50,600 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=3
2026-01-23 12:29:50,731 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=3
2026-01-23 12:30:50,833 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
2026-01-23 12:31:50,930 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
2026-01-23 12:32:51,026 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
2026-01-23 12:33:51,130 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=4
