2026-01-27 03:40:10,854 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769485210294', 'order_id': '710872497498620444'}
2026-01-27 03:40:11,449 | INFO | OPEN cmt_solusdt TF=5m size=7.6 order_id=710872497498620444 candle_idx=122
2026-01-27 03:40:50,335 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 03:41:50,459 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 03:42:50,556 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 03:43:50,679 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 03:44:50,839 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-27 03:45:50,967 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 03:46:51,091 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 03:47:51,241 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 03:48:51,385 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 03:49:51,529 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 03:50:51,690 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.06% | held_candles=2
2026-01-27 03:51:51,853 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.06% | held_candles=2
2026-01-27 03:52:52,042 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.06% | held_candles=2
2026-01-27 03:53:52,187 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.06% | held_candles=2
2026-01-27 03:54:52,341 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.06% | held_candles=2
2026-01-27 03:55:52,474 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.15% | held_candles=3
2026-01-27 03:56:52,624 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.15% | held_candles=3
2026-01-27 03:57:52,793 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.15% | held_candles=3
