2026-01-27 01:55:04,698 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769478904128', 'order_id': '710846047538119196'}
2026-01-27 01:55:05,299 | INFO | OPEN cmt_solusdt TF=5m size=7.7 order_id=710846047538119196 candle_idx=98
2026-01-27 01:55:42,910 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 01:56:43,068 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 01:57:43,189 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 01:58:43,328 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 01:59:43,459 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-27 02:00:43,563 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 02:01:43,676 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 02:02:43,846 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 02:03:43,977 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 02:04:44,098 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=2
2026-01-27 02:05:44,209 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.48% | held_candles=3
2026-01-27 02:06:44,314 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.48% | held_candles=3
2026-01-27 02:07:44,437 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.48% | held_candles=3
2026-01-27 02:08:44,552 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.48% | held_candles=3
2026-01-27 02:09:44,688 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.48% | held_candles=3
2026-01-27 02:10:44,813 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.32% | held_candles=4
2026-01-27 02:11:44,943 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.32% | held_candles=4
2026-01-27 02:12:44,955 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.32% | held_candles=4
2026-01-27 02:13:45,091 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.32% | held_candles=4
2026-01-27 02:14:45,248 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.32% | held_candles=4
2026-01-27 02:15:45,374 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=5
2026-01-27 02:16:45,524 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=5
2026-01-27 02:17:45,674 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=5
2026-01-27 02:18:45,828 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=5
2026-01-27 02:19:45,967 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=5
2026-01-27 02:20:46,114 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=6
2026-01-27 02:21:46,280 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=6
2026-01-27 02:22:46,451 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=6
2026-01-27 02:23:46,608 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=6
2026-01-27 02:24:46,798 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.29% | held_candles=6
2026-01-27 02:25:46,938 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.22% | held_candles=7
2026-01-27 02:26:47,076 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.22% | held_candles=7
2026-01-27 02:27:01,915 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769480821353', 'order_id': '710854089042297372'}
