2026-01-24 02:45:13,293 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769222707755', 'order_id': '709771503100494364'}
2026-01-24 02:45:13,874 | INFO | OPEN cmt_dogeusdt TF=5m size=7700.0 order_id=709771503100494364 candle_idx=80
2026-01-24 02:45:50,033 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 02:46:50,208 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 02:47:50,378 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 02:48:50,475 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 02:49:50,633 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-24 02:50:50,773 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=2
2026-01-24 02:51:50,948 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=2
2026-01-24 02:52:51,128 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=2
2026-01-24 02:53:51,271 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=2
2026-01-24 02:54:51,455 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=2
2026-01-24 02:55:51,635 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=3
2026-01-24 02:56:51,819 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=3
2026-01-24 02:57:51,977 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=3
2026-01-24 02:58:52,158 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=3
2026-01-24 02:59:52,326 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=3
2026-01-24 03:00:52,472 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=4
2026-01-24 03:01:52,628 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=4
2026-01-24 03:02:52,797 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=4
2026-01-24 03:03:53,014 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=4
2026-01-24 03:04:53,172 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=4
2026-01-24 03:05:53,350 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=7
2026-01-24 03:06:53,559 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=7
2026-01-24 03:07:53,690 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=7
2026-01-24 03:08:53,834 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=7
2026-01-24 03:09:54,009 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.11% | held_candles=7
2026-01-24 03:10:54,134 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.21% | held_candles=8
2026-01-24 03:11:54,265 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.21% | held_candles=8
2026-01-24 03:12:54,450 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.21% | held_candles=8
2026-01-24 03:13:54,588 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.21% | held_candles=8
2026-01-24 03:14:54,771 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.21% | held_candles=8
2026-01-24 03:15:54,880 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.27% | held_candles=9
2026-01-24 03:16:55,050 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.27% | held_candles=9
2026-01-24 03:17:55,179 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.27% | held_candles=9
2026-01-24 03:18:55,333 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.27% | held_candles=9
2026-01-24 03:19:55,503 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.27% | held_candles=9
2026-01-24 03:20:55,629 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=10
2026-01-24 03:21:55,841 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=10
2026-01-24 03:22:56,010 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=10
2026-01-24 03:23:56,181 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=10
2026-01-24 03:24:56,337 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.16% | held_candles=10
2026-01-24 03:25:56,446 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.18% | held_candles=11
2026-01-24 03:26:56,657 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.18% | held_candles=11
2026-01-24 03:27:56,869 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.18% | held_candles=11
2026-01-24 03:28:57,066 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.18% | held_candles=11
2026-01-24 03:29:57,301 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.18% | held_candles=11
2026-01-24 03:30:07,548 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769225407157', 'order_id': '709782803633406492'}
