2026-01-22 23:41:25,167 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:26,186 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:27,205 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:28,224 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:29,245 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:30,257 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:31,275 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:32,292 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:33,310 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:34,328 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:35,348 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:36,367 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:37,386 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:38,404 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:39,422 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:40,443 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:41,461 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:42,480 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:43,501 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:44,521 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:45,539 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:46,558 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:47,577 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:48,597 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:49,616 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:50,636 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:51,655 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:52,674 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:53,695 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:54,704 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:55,723 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:56,749 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:57,769 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:58,788 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:41:59,808 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:00,831 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:01,851 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:02,870 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:03,874 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0%
2026-01-22 23:42:03,889 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:04,909 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:05,928 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:06,947 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:07,965 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:08,987 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:10,007 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:11,027 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:12,051 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:13,071 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:14,091 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:15,110 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:16,129 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:17,149 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:18,169 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:19,188 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:20,207 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:21,227 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:22,246 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:23,267 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:24,285 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:25,305 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:26,326 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:27,345 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:28,364 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:29,374 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:30,394 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:31,413 | INFO | [HOLD LOCK] 2/1 candle
2026-01-22 23:42:32,434 | INFO | [HOLD LOCK] 2/1 candle
