2026-01-30 09:50:15,996 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769766613861', 'order_id': '712052796010005020'}
2026-01-30 09:50:49,805 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-30 09:51:49,933 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=0
2026-01-30 09:52:50,028 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.27% | held_candles=0
2026-01-30 09:53:50,144 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=0
2026-01-30 09:54:50,308 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=0
2026-01-30 09:55:50,437 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=1
2026-01-30 09:56:50,603 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=1
2026-01-30 09:57:50,731 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.1% | held_candles=1
2026-01-30 09:58:50,812 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.14% | held_candles=1
2026-01-30 09:59:50,878 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=1
2026-01-30 10:00:50,985 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=2
2026-01-30 10:01:51,111 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.13% | held_candles=2
2026-01-30 10:02:51,241 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=2
2026-01-30 10:03:51,268 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.04% | held_candles=2
2026-01-30 10:04:51,352 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.12% | held_candles=2
2026-01-30 10:05:51,440 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=3
2026-01-30 10:06:51,528 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=3
2026-01-30 10:07:51,636 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=3
