2026-01-26 17:25:03,754 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769448303231', 'order_id': '710717697897267740'}
2026-01-26 17:25:04,327 | INFO | OPEN cmt_solusdt TF=5m size=7.8 order_id=710717697897267740 candle_idx=102
2026-01-26 17:25:33,319 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-26 17:26:33,422 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-26 17:27:33,563 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-26 17:28:33,697 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-26 17:29:33,822 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=1
2026-01-26 17:30:33,903 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=2
2026-01-26 17:31:34,030 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=2
2026-01-26 17:32:34,182 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=2
2026-01-26 17:33:34,305 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=2
2026-01-26 17:34:34,389 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=2
2026-01-26 17:35:34,480 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=3
2026-01-26 17:36:34,608 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=3
2026-01-26 17:37:34,668 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=3
2026-01-26 17:38:34,798 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=3
2026-01-26 17:39:34,903 | INFO | [FLOAT-5m] cmt_solusdt | pnl=-0.03% | held_candles=3
2026-01-26 17:40:02,076 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769449201411', 'order_id': '710721465690882588'}
