2026-01-24 09:40:09,730 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769247609183', 'order_id': '709875926229320220'}
2026-01-24 09:40:10,282 | INFO | OPEN cmt_solusdt TF=5m size=7.5 order_id=709875926229320220 candle_idx=28
2026-01-24 09:40:38,754 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-24 09:41:38,894 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-24 09:42:39,028 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-24 09:43:39,155 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-24 09:44:39,336 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-24 09:45:39,456 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-24 09:46:39,591 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-24 09:47:39,685 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-24 09:48:39,795 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-24 09:49:39,919 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-24 09:50:40,030 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=2
2026-01-24 09:51:40,131 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=2
2026-01-24 09:52:40,261 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=2
2026-01-24 09:53:40,368 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=2
2026-01-24 09:54:40,495 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=2
2026-01-24 09:55:40,571 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=3
2026-01-24 09:56:40,674 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=3
2026-01-24 09:57:40,812 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=3
2026-01-24 09:58:40,933 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=3
2026-01-24 09:59:41,044 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=3
2026-01-24 10:00:41,110 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=4
2026-01-24 10:01:41,256 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=4
2026-01-24 10:02:41,372 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=4
2026-01-24 10:03:41,492 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=4
2026-01-24 10:04:41,623 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=4
2026-01-24 10:05:41,743 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=5
2026-01-24 10:06:41,803 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=5
2026-01-24 10:07:41,941 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=5
2026-01-24 10:08:42,073 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=5
2026-01-24 10:09:42,183 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.02% | held_candles=5
2026-01-24 10:10:42,288 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=6
2026-01-24 10:11:42,348 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=6
2026-01-24 10:12:42,491 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=6
2026-01-24 10:13:42,631 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.05% | held_candles=6
