1769097000000,128.09,128.09,128.03,128.03,65.6
1769097300000,127.36,127.36,127.36,127.36,10.0
1769097600000,127.31,127.31,127.3,127.3,15.5
1769097900000,127.71,127.71,127.69,127.71,71.8
1769098200000,127.4,127.45,127.4,127.45,74.0
1769098500000,127.13,127.13,127.13,127.13,11.1
1769098800000,127.09,127.09,127.09,127.09,24.7
1769099100000,127.73,127.74,127.73,127.74,16.4
1769099400000,127.59,127.61,127.59,127.61,38.2
1769099700000,127.42,127.42,127.41,127.42,30.6
1769100000000,127.46,127.46,127.45,127.45,12.6
1769100300000,127.62,127.62,127.62,127.62,20.6
1769100600000,127.98,127.98,127.98,127.98,1.7
1769100900000,127.75,127.75,127.75,127.75,20.7
1769101200000,127.8,127.8,127.8,127.8,9.7
1769101500000,128.0,128.0,128.0,128.0,23.2
1769101800000,128.24,128.26,128.24,128.26,18.0
1769102100000,127.9,127.91,127.9,127.91,15.2
1769102400000,128.0,128.01,128.0,128.01,26.7
1769102700000,128.02,128.02,128.02,128.02,21.8
1769103000000,127.68,127.68,127.68,127.68,2.9
1769103300000,127.77,127.77,127.76,127.77,14.2
1769103600000,127.74,127.74,127.74,127.74,15.4
1769103900000,127.97,127.97,127.97,127.97,1.8
1769104200000,128.36,128.36,128.36,128.36,15.7
1769104500000,128.58,128.58,128.58,128.58,22.0
1769104800000,128.61,128.61,128.61,128.61,12.5
1769105100000,128.13,128.14,128.13,128.14,17.3
1769105400000,128.26,128.27,128.26,128.27,22.2
1769105700000,128.13,128.13,128.13,128.13,17.6
1769106000000,128.52,128.52,128.52,128.52,1.8
1769106300000,128.34,128.34,128.33,128.33,25.6
1769106600000,128.29,128.29,128.29,128.29,10.2
1769106900000,128.56,128.56,128.53,128.53,36.0
1769107200000,128.4,128.4,128.39,128.39,10.5
1769107500000,128.36,128.36,128.36,128.36,17.9
1769107800000,128.21,128.21,128.21,128.21,8.3
1769108100000,127.81,127.82,127.81,127.82,11.7
1769108400000,127.66,127.66,127.66,127.66,23.2
1769108700000,127.72,127.73,127.72,127.73,8.4
1769109000000,127.94,127.94,127.94,127.94,12.4
1769109300000,127.99,127.99,127.99,127.99,5.0
1769109600000,128.02,128.03,128.02,128.03,18.9
1769109900000,128.21,128.34,128.17,128.22,4675.0
1769110200000,128.17,128.17,128.17,128.17,18.6
1769110500000,128.57,128.57,128.57,128.57,23.4
1769110500000,128.57,128.83,128.56,128.83,6091.8
1769111400000,128.76,128.96,128.76,128.96,974.6
1769111700000,129.26,129.26,129.26,129.26,21.5
1769112000000,129.18,129.18,129.18,129.18,18.4
1769112000000,129.18,129.29,129.02,129.26,3910.0
1769112300000,129.42,129.42,129.42,129.42,19.0
1769112600000,129.23,129.23,129.23,129.23,6.3
1769112900000,129.57,129.57,129.56,129.56,24.8
1769113200000,129.3,129.31,129.3,129.31,13.4
1769113500000,128.86,128.89,128.86,128.89,86.9
1769113800000,128.74,128.74,128.73,128.73,4.8
1769114100000,128.74,128.74,128.74,128.74,13.1
1769114400000,128.46,128.46,128.46,128.46,15.7
1769114700000,128.41,128.41,128.41,128.41,13.4
1769115000000,128.5,128.54,128.5,128.54,42.6
1769115300000,128.51,128.52,128.51,128.52,16.1
1769115600000,128.4,128.45,128.4,128.45,50.0
1769115900000,128.19,128.19,128.19,128.19,11.1
1769116200000,128.47,128.47,128.47,128.47,11.2
1769116500000,128.45,128.45,128.44,128.44,10.7
1769116800000,128.7,128.71,128.7,128.71,18.8
1769117100000,128.94,128.94,128.94,128.94,7.0
1769117400000,128.68,128.68,128.68,128.68,17.7
1769117700000,128.47,128.47,128.47,128.47,30.4
1769118000000,128.45,128.45,128.45,128.45,19.7
1769118300000,128.38,128.38,128.38,128.38,15.8
1769118600000,128.45,128.45,128.45,128.45,18.7
1769118900000,128.43,128.43,128.43,128.43,11.3
1769119200000,128.24,128.24,128.24,128.24,14.3
1769119500000,128.28,128.28,128.28,128.28,10.1
1769119800000,128.29,128.29,128.29,128.29,15.4
1769120100000,128.44,128.44,128.44,128.44,14.0
1769120400000,128.23,128.23,128.23,128.23,23.6
1769120700000,128.29,128.29,128.29,128.29,13.7
1769121000000,128.27,128.27,128.27,128.27,15.4
1769121300000,127.95,127.95,127.95,127.95,17.6
1769121600000,128.16,128.18,128.16,128.18,12.0
1769121900000,128.39,128.39,128.39,128.39,21.3
1769122200000,128.46,128.46,128.46,128.46,14.2
1769122500000,128.66,128.66,128.66,128.66,35.1
1769122800000,128.64,128.64,128.63,128.63,15.2
1769123100000,128.07,128.11,128.07,128.11,55.5
1769123400000,128.32,128.32,128.31,128.31,9.6
1769123700000,128.39,128.39,128.39,128.39,8.0
1769124000000,128.27,128.28,128.27,128.28,6.4
1769124300000,128.37,128.37,128.37,128.37,15.1
1769124600000,128.34,128.34,128.34,128.34,12.6
1769124900000,128.57,128.57,128.57,128.57,12.8
1769125200000,128.41,128.41,128.41,128.41,20.4
1769125500000,128.34,128.34,128.33,128.33,14.5
1769125800000,128.31,128.31,128.31,128.31,14.9
1769126100000,128.29,128.29,128.29,128.29,7.3
1769126400000,128.41,128.41,128.41,128.41,6.6
1769126700000,128.32,128.32,128.32,128.32,17.8
1769127000000,128.33,128.33,128.33,128.33,17.3
1769127300000,128.35,128.35,128.32,128.32,93.2
1769127600000,128.42,128.43,128.42,128.43,9.7
1769127900000,128.26,128.26,128.26,128.26,18.2
1769129100000,128.2,128.32,128.14,128.24,5930.1
1769129400000,128.28,128.28,128.28,128.28,15.2
1769129700000,128.34,128.34,128.34,128.34,8.0
1769130000000,128.28,128.28,128.28,128.28,20.9
1769130300000,128.5,128.5,128.47,128.47,39.0
1769130600000,128.43,128.43,128.42,128.42,8.2
1769130900000,128.26,128.26,128.26,128.26,15.0
1769131200000,128.32,128.32,128.32,128.32,8.8
1769131500000,128.26,128.26,128.26,128.26,10.6
1769131800000,128.36,128.36,128.36,128.36,16.3
1769132100000,128.58,128.58,128.56,128.56,46.1
1769132400000,128.64,128.64,128.62,128.62,43.2
1769132700000,128.65,128.65,128.65,128.65,4.1
1769133000000,128.57,128.57,128.57,128.57,23.1
1769133300000,128.69,128.69,128.69,128.69,11.4
1769133600000,128.82,128.82,128.82,128.82,18.8
1769133900000,128.49,128.49,128.49,128.49,3.0
1769134200000,128.61,128.61,128.61,128.61,13.7
1769134500000,128.73,128.74,128.73,128.74,17.0
1769134800000,128.55,128.55,128.55,128.55,14.9
1769135100000,128.54,128.54,128.54,128.54,17.2
1769135400000,128.43,128.43,128.43,128.43,11.2
1769135700000,128.4,128.4,128.4,128.4,19.1
1769136000000,128.45,128.45,128.45,128.45,15.1
1769136300000,128.41,128.41,128.41,128.41,18.8
1769136600000,128.29,128.29,128.29,128.29,15.9
1769136900000,128.21,128.21,128.21,128.21,14.1
1769137200000,128.11,128.11,128.11,128.11,12.9
1769137500000,128.24,128.24,128.24,128.24,14.5
1769137800000,128.31,128.31,128.31,128.31,24.9
1769138100000,128.28,128.28,128.28,128.28,8.4
1769137800000,128.31,128.35,128.25,128.28,8078.5
1769138100000,128.28,128.28,128.28,128.28,22.8
1769138400000,128.52,128.53,128.52,128.53,5.4
1769138700000,128.56,128.56,128.55,128.55,14.6
1769139000000,128.59,128.61,128.59,128.61,47.3
1769139300000,128.5,128.5,128.49,128.49,8.6
1769139600000,128.5,128.5,128.5,128.5,11.2
1769139900000,128.6,128.6,128.6,128.6,31.3
1769140200000,128.61,128.61,128.61,128.61,15.6
1769140500000,128.68,128.68,128.67,128.67,26.2
1769140800000,128.69,128.69,128.69,128.69,9.9
1769141100000,128.6,128.6,128.6,128.6,15.7
1769141400000,128.63,128.63,128.63,128.63,3.6
1769141700000,128.9,128.94,128.84,128.92,1172.9
1769142000000,128.61,128.61,128.61,128.61,14.9
1769142300000,128.75,128.75,128.75,128.75,28.3
1769142600000,128.87,128.87,128.84,128.84,48.5
1769142900000,128.96,128.97,128.96,128.97,26.4
1769143200000,128.77,128.77,128.77,128.77,17.4
1769143500000,128.99,128.99,128.94,128.94,88.3
