time,symbol,action,size,order_id
2026-01-20 09:02:28.307326,cmt_btcusdt,OPEN,0.0001,708416889797214236
2026-01-20 09:07:29.604424,cmt_btcusdt,CLOSE,0.0001,708418153536815132
