time,symbol,tf,side,size,entry,exit,pnl_pct,open_order_id,close_order_id,reason,strat_id
2026-01-21 10:35:02.671771,cmt_dogeusdt,5m,LONG,8000.0,0.12445,,,708802572672040988,,OPEN,1
2026-01-21 10:38:02.354525,cmt_dogeusdt,5m,LONG,8000.0,0.12445,0.12445,0.0,708802572672040988,708803327973916700,TIME_SCORE,
2026-01-21 10:40:02.385070,cmt_solusdt,5m,LONG,7.8,127.97,,,708803829897887772,,OPEN,1
2026-01-21 10:45:01.997733,cmt_solusdt,5m,LONG,7.8,127.97,127.97,0.0,708803829897887772,708805088088424476,TIME_SCORE,
2026-01-21 10:57:30.915136,cmt_solusdt,5m,LONG,7.8,127.67,,,708808227533357084,,OPEN,0
2026-01-21 10:57:32.892210,cmt_dogeusdt,5m,LONG,7600.0,0.12418,,,708808235942936604,,OPEN,1
2026-01-21 11:01:20.794400,cmt_solusdt,5m,LONG,7.0,127.48,,,708809191820623900,,OPEN,0
2026-01-21 11:03:01.790575,cmt_solusdt,5m,LONG,7.0,127.48,127.48,0.0,708809191820623900,708809617106272284,TIME_SCORE,
2026-01-21 11:27:34.036480,cmt_solusdt,5m,LONG,7.0,127.75,,,708815790396145692,,OPEN,1
2026-01-21 11:30:02.254974,cmt_solusdt,5m,LONG,7.0,127.75,127.62,-0.1018,708815790396145692,708816413745217564,TIME_SCORE,
2026-01-21 12:25:21.443724,cmt_solusdt,5m,LONG,7.7,127.04,,,708830333801332764,,OPEN,1
2026-01-21 12:26:02.619312,cmt_solusdt,5m,LONG,7.7,127.04,127.04,0.0,708830333801332764,708830508208881692,TIME_SCORE,
2026-01-22 00:25:21.912608,cmt_dogeusdt,5m,LONG,7700.0,0.12675,,,709011528799485980,,OPEN,1
2026-01-22 00:28:01.595655,cmt_dogeusdt,5m,LONG,7700.0,0.12675,0.12675,0.0,709011528799485980,709012201104474140,TIME_SCORE,
2026-01-22 00:30:16.587849,cmt_dogeusdt,5m,LONG,7700.0,0.12683,,,709012764953149468,,OPEN,1
2026-01-22 00:42:02.887216,cmt_dogeusdt,5m,LONG,7700.0,0.12683,0.12717,0.2681,709012764953149468,709015729734680604,TIME_SCORE,
2026-01-22 00:45:16.658573,cmt_dogeusdt,5m,LONG,7700.0,0.1271,,,709016540585918492,,OPEN,1
2026-01-22 00:52:01.887327,cmt_dogeusdt,5m,LONG,7700.0,0.1271,0.12709,-0.0079,709016540585918492,709018242143748124,TIME_SCORE,
2026-01-22 06:55:13.749430,cmt_dogeusdt,5m,LONG,7700.0,0.12666,,,709109642076094492,,OPEN,1
2026-01-22 07:05:02.199899,cmt_dogeusdt,5m,LONG,7700.0,0.12666,0.12666,0.0,709109642076094492,709112112017834012,TIME_SCORE,
2026-01-22 07:15:08.541833,cmt_solusdt,5m,LONG,7.5,130.04,,,709114631246840092,,OPEN,0
2026-01-22 07:18:01.820347,cmt_solusdt,5m,LONG,7.5,130.04,130.04,0.0,709114631246840092,709115381813346844,TIME_SCORE,
